album_id	album_name	album_type	album_weight
1	SremmLife 2 (Deluxe)	album	2
2	Closer	single	1
3	Starboy	single	3
4	Heathens	single	1
5	Encore	album	2
6	24K Magic	single	2
7	Dangerous Woman	album	5
8	Juju On That Beat (TZ Anthem)	single	1
9	Broccoli (feat. Lil Yachty) - Single	single	1
10	Don't Wanna Know	single	1
11	us	album	1
12	Cold Water	single	1
13	Illuminate (Deluxe)	album	2
14	Used to This	single	1
15	Cheap Thrills	single	1
16	TROLLS (Original Motion Picture Soundtrack)	album	1
17	Fake Love	single	1
18	Caroline	single	1
19	Starving	single	1
20	OOOUUU	single	1
21	The Greatest	single	1
22	Know-It-All (Deluxe)	album	3
23	Don't Let Me Down	single	1
24	low kii savage	album	1
25	VHS	album	3
26	Ripcord	album	2
27	This Is What You Came For	single	1
28	Blurryface	album	4
29	Chill Bill	single	1
30	Dig Your Roots	album	2
31	In the Name of Love	single	1
32	Views	album	18
33	Send My Love (To Your New Lover)	single	1
34	ANTI	album	4
35	Sucker For Pain (with Logic & Ty Dolla $ign feat. X Ambassadors)	single	1
36	Tiimmy Turner	single	1
37	Savage Mode	album	2
38	Sit Still, Look Pretty	album	2
39	Major Key	album	2
40	I Told You	album	2
41	Panda	single	1
42	All Time Low	single	1
43	Sneakinâ€™	single	1
44	Nine Track Mind	album	2
46	Coloring Book	album	2
47	You Should Be Here	album	2
48	Setting the World On Fire	single	1
49	Lil Boat	album	1
50	Pick up the Phone (Originally by Young Thug, Travis Scott and Quavo) [Karaoke Instrumental]	single	1
51	Brett Young EP	album	1
52	They Don't Know	album	2
53	Better Man	single	1
54	Kill The Lights (Deluxe)	album	5
55	My Way	single	1
56	PARTYNEXTDOOR 3 (P3)	album	1
59	Lil Uzi Vert Vs. The World	album	2
60	All We Know	single	1
61	Bounce Back	single	1
63	Meat and Candy	album	3
64	This Town	single	1
66	Love Me Now	single	1
67	The Life Of Pablo	album	9
68	Too Much Sauce	single	1
69	No Limit	single	1
70	Vice	single	1
71	Setting Fires	single	1
72	Storyteller	album	4
73	Bad Things	single	1
74	Illinois	album	2
75	Fresh Eyes	single	1
77	Wish Me Well 2	album	1
78	Fitz and The Tantrums	album	1
79	DC4	album	7
80	Say You Won't Let Go	single	1
81	A Pentatonix Christmas	album	1
82	PPAP (Pen Pineapple Apple Pen) [Long Version]	single	1
83	Ain't My Fault	single	1
84	What They Want	single	1
85	Truce - EP	album	1
86	Summer Forever	album	2
87	Selfish	single	1
88	Damn Country Music	album	2
89	Tangled Up (Deluxe)	album	1
90	Artist	album	1
91	HERO	album	2
92	The Fighters	album	2
93	All Eyez (feat. Jeremih)	single	1
94	Wishing (feat. Chris Brown, Skeme & Lyquin)	single	1
95	Wat U Mean (Aye, Aye, Aye)	single	1
96	Joanne (Deluxe)	album	3
97	Greenlight	single	1
99	Covers vol.1	single	1
100	Suicide Squad: The Album	album	2
101	Hymn For The Weekend (Seeb Remix)	single	1
104	Two Birds, One Stone	single	1
107	Shout Out to My Ex	single	1
109	Chantaje	single	1
111	Lady Wood	album	1
116	Say It	single	1
117	This Girl (Kungs Vs. Cookin' On 3 Burners)	single	1
118	Still Brazy (Deluxe)	album	1
119	CRZY	single	1
120	Lockjaw	single	1
121	Groovy People	album	1
122	Birds In The Trap Sing McKnight	album	1
123	For Free	single	1
124	7/27 (Deluxe)	album	3
125	False Alarm	single	1
126	Blow Your Mind (Mwah)	single	1
127	Black	album	2
128	THat Part	single	1
130	Fight Like Hell EP	album	1
131	Alone	single	1
132	Vinyl	album	1
133	I Got the Keys	single	1
134	"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")"	single	1
136	FMA	album	1
137	Today	single	1
139	The First Time	album	3
140	Oh My My	album	2
141	Forever Country	single	1
142	A Seat at the Table	album	2
143	EVOL	album	3
144	Montevallo	album	5
146	LIFTED	single	1
148	At Night, Alone.	album	1
149	Never Be Like You (feat. Kai)	single	1
151	Lukas Graham	album	2
152	Thank You (Deluxe)	album	2
153	Purple Lamborghini (with Rick Ross)	single	1
154	With You Tonight (Hasta El Amanecer)	single	1
155	Kinda Don't Care	album	1
156	No Shopping	single	1
160	Cancer	single	1
161	MY PYT	single	1
162	Grass Ain't Greener	single	1
164	Don't Mind	single	1
165	Rise	single	1
166	Deja Vu	single	1
167	Make Me... (feat. G-Eazy)	single	2
168	If I'm Honest	album	4
170	American Love	album	1
171	Sorry	single	1
172	From The Ground Up	single	1
173	Revival (Deluxe)	album	3
175	ANTI (Deluxe)	album	1
177	SWAAY	album	2
179	JEFFERY	album	1
180	Mr. Misunderstood	album	2
183	Purpose (Deluxe)	album	15
184	Blonde	album	5
189	Uber Everywhere	single	1
190	Hit or Miss	single	1
191	Girl Problems	album	1
193	Pop Style	single	1
195	JEKYLL + HYDE	album	4
196	No Money	single	1
197	Wasted Time	single	1
198	Chaos And The Calm	album	1
200	California Sunrise	album	1
202	All The Way Up (Remix) (feat. French Montana & Infared) - Single	single	1
203	Last Year Was Complicated	album	1
204	Wake Up	single	1
206	MY HOUSE	album	3
208	Lush Life	single	1
210	Brand New	album	1
214	Studio Remix Album: Greatest Hits, Vol. 9	album	1
215	DUELE EL CORAZON	single	1
216	Everybody Looking	album	1
217	Peace Is The Mission (Extended)	album	1
218	Lost Boy	single	1
219	Never Forget You	single	1
220	Ghostbusters (Original Motion Picture Soundtrack)	album	1
221	Body Say	single	1
223	M.I.L.F. $	single	1
224	Fighter	album	1
225	Ophelia	single	1
226	No Hard Feelings	album	1
227	Mind Of Mine (Deluxe Edition)	album	3
228	When It's Dark Out	album	3
229	Tangled Up	album	2
230	It's Summertime Fun & Sun	album	1
231	Noise	single	1
233	California	album	1
234	La Bicicleta	single	1
235	Cut It (feat. Young Dolph)	single	1
236	Late Nights: The Album	album	2
238	Immortalized	album	1
239	Messin' Around (w/ Enrique Iglesias)	single	1
242	Bobby Tarantino	album	1
243	Islah (Deluxe)	album	3
244	I'm Comin' Over	album	4
246	Zootopia (Original Motion Picture Soundtrack)	album	1
247	Champions	single	1
248	Dark Necessities	single	1
250	Humble And Kind	single	1
251	What the World Needs Now Is Love (Chris Cox Radio Mix)	single	1
252	Ain't No Stopping Us Now	single	1
254	T R A P S O U L	album	3
256	Sweatshirt	single	1
258	Up For Days	album	1
259	Faded	single	2
263	Nothing Is Promised	single	1
264	Where It's At	album	3
265	Above And BeyoncÃ© Dance Mixes	album	1
266	Hasta el Amanecer	single	1
268	The Art of Hustle (Deluxe)	album	2
269	Piece By Piece (Deluxe Version)	album	2
270	Moolah	single	1
271	Blue Neighbourhood (Deluxe)	album	1
272	My Boo (Ghost Town DJ's Fitness Version Dance remix)	single	1
273	If It Ain't Love	single	1
275	All The Way Up (feat. French Montana & Infared) - Single	single	NULL
277	The Complete Season 10 Collection (The Voice Performance)	album	4
283	Handwritten (Revisited)	album	4
284	Roses	single	1
292	Summer In The Winter	album	1
294	Ain't Your Mama	single	1
295	LEMONADE - EP	single	1
296	Rewind	album	2
297	Anything Goes	album	6
298	Team	single	1
300	Acoustic & Guitar Session Vol.2 Covers	album	1
302	Smooth Jazz All Stars Cover Beyonce	album	4
306	True Colors	single	1
308	Summer Sixteen	single	1
309	Purple Rain (Originally Performed by Prince & The Revolution) [Karaoke Version]	single	1
310	Lullaby Renditions of Prince	album	3
312	Kiss (In the Style of Prince & The Revolution) [Karaoke Version]	single	1
313	Let's Go Crazy (Originally Performed by Prince & The Revolution) [Karaoke Version]	single	1
315	Raspberry Beret (Originally Performed by Prince & The Revolution) [Karaoke Version]	single	1
316	I Would Die 4 U (Originally Performed by Prince & The Revolution) [Karaoke Version]	single	1
317	What A Time To Be Alive	album	11
319	Back To Sleep REMIX	single	1
321	New Level	single	1
323	Beauty Behind The Madness	album	11
324	Go Flex	single	1
325	I Don't Dance (Deluxe Edition)	album	3
327	Hello	single	4
330	New Romantics: Rock Tribute to Taylor Swift	single	1
332	Free TC	album	2
333	Chase Bryant	single	2
334	Might Be - Single	single	1
336	Jimmy Choo	single	1
338	Fast Car (Radio Edit)	single	1
340	Traveller	album	4
342	SUGAR	album	1
344	Death Of A Bachelor	album	4
346	When We Were Young	single	1
347	Best Friend	single	1
354	679 (feat. Remy Boyz)	single	1
357	Title (Deluxe)	album	4
358	White Iverson	single	1
360	Wildfire	album	2
362	Slime Season 3	album	2
365	Delirium (Deluxe)	album	3
366	This Is What The Truth Feels Like	album	2
371	Love Stuff	album	1
373	A Head Full Of Dreams	album	1
374	Remington	album	1
375	Something New	single	1
378	We Went	single	1
379	Break On Me	single	1
382	Watch Out	single	1
383	Everything Is 4	album	3
384	COLLEGROVE	album	1
385	Rodeo (Deluxe)	album	2
387	Furious 7: Original Motion Picture Soundtrack	single	3
389	Hello Friday (feat. Jason Derulo)	single	1
390	Made In The A.M. (Deluxe Edition)	album	8
391	Professional Rapper	album	1
392	Til It Happens To You	single	1
393	Walking On A Dream	album	1
395	Wildest Dreams (Taylor Swift Covers)	album	1
397	Mary Desmond Performance Tracks	album	2
398	Hollow	single	1
399	Look At My Dab	single	1
401	Uptown Special	album	1
404	Confident (Deluxe Edition)	album	2
405	Stay A Little Longer	single	1
406	25	album	3
407	Magazines Or Novels (Deluxe Edition)	album	1
408	Listen Again	album	1
409	Irresistible	single	1
411	Dessert	single	1
412	Watch Me (Whip / Nae Nae)	single	1
414	Bake Sale (feat. Travis Scott)	single	1
415	Die a Happy Man	single	1
416	WTF (Where They From) [feat. Pharrell Williams]	single	1
417	Whisper	single	1
418	The Fix (feat. Jeremih)	single	1
419	2014 Forest Hills Drive	album	3
420	Fetty Wap (Deluxe)	album	5
422	Moonshine in the Trunk	album	4
423	#AndSeeThatsTheThing	album	1
425	Alive	single	1
426	Dark Sky Paradise	album	6
427	I Got The Boy	single	1
429	Focus	single	1
430	Old Boots, New Dirt	album	6
432	Bottom of the Bottle (feat. August Alsina & Lil Wayne)	single	1
433	Locked Away	single	1
435	BADLANDS	album	1
437	x (Wembley Edition)	album	2
438	Right Hand	single	1
439	SremmLife	album	6
440	Lean and Dabb	single	1
441	Ginza	single	1
443	Blackstar	album	2
444	David Bowie (aka Space Oddity) [2015 Remastered Version]	album	1
445	Hot Space (Deluxe Remastered Version)	album	1
448	BRINGING BACK THE SUNSHINE	album	4
451	DS2 (Deluxe)	album	5
452	Skrillex and Diplo present Jack Ãœ	album	1
453	This Unruly Mess I've Made	album	1
456	Hit the Quan	single	1
457	Untamed	album	1
459	Royalty (Deluxe Version)	album	3
464	Merry Christmas	album	1
465	Rockin' Around The Christmas Tree/The Decca Christmas Recordings	album	1
466	The Christmas Song	album	1
467	Christmas Number 1's	album	1
468	Hallelujah	single	1
470	The Complete Season 9 Collection (The Voice Performance)	album	9
471	Good For You	single	1
472	Cheerleader (Felix Jaehn Remix Radio Edit)	single	1
473	Drag Me Down	single	1
476	Back To Back	single	1
477	Where It All Began	album	1
483	Feels Like Carolina	album	3
486	Black Market (Deluxe)	album	1
490	x (Deluxe Edition)	album	6
491	How Deep Is Your Love	single	1
495	PSY 7TH ALBUM	album	1
496	Madi Anne Davis	album	1
497	Cole Swindell	album	4
501	HAIZ	single	1
515	TALKING IS HARD	album	2
518	Writing's On The Wall	single	1
521	Only Way Is Up (Deluxe)	album	1
522	The Big Revival	album	4
526	Hold My Hand	single	1
527	Nick Jonas X2	album	3
528	Thriller 25 Super Deluxe Edition	album	2
530	Dreams Worth More Than Money	album	5
533	V	album	4
534	Some Type Of Love	single	1
535	Take Me Home: Yearbook Edition	album	5
536	Chapter 1 - EP	album	1
537	Ignite the Night	album	2
538	Nothing But Trouble (Instagram Models)	single	1
539	Powerful (Remixes)	album	1
540	100 (feat. Drake)	single	1
541	Flex (Ooh, Ooh, Ooh) - Single	single	1
542	Reflection (Deluxe)	album	3
543	Lose My Mind	single	1
545	John Cougar, John Deere, John 3:16	single	1
548	Pentatonix (Deluxe Version)	album	1
549	"Earned It (Fifty Shades Of Grey) [From The ""Fifty Shades Of Grey"" Soundtrack]"	single	1
550	Bad Blood - Tribute to Taylor Swift and Kendrick Lamar	single	1
551	Forgiveness (w/ Enrique Iglesias)	single	1
553	Start Here	album	2
555	I like it when you sleep, for you are so beautiful yet so unaware of it	album	1
556	American Beauty/American Psycho	album	3
557	Planes (Originally Performed By Jeremih feat. J. Cole) [Instrumental Version] - Single	single	1
558	Buy Me A Boat	single	1
561	Andrew McMahon In The Wilderness	album	1
562	The Original High (Deluxe Version)	album	1
563	Hold Each Other	single	1
565	Black Magic	single	1
568	Classic Man	single	1
569	Magazines Or Novels	album	1
570	Crash And Burn	single	1
571	Runnin' (Lose It All)	single	1
573	To Pimp A Butterfly	album	6
575	Post To Be (feat. Chris Brown & Jhene Aiko)	single	1
578	Sounds Good Feels Good (Deluxe)	album	3
579	Trigga Reloaded	album	4
580	Real Life	single	1
581	Unbreakable Smile	album	2
582	Cloud Nine	album	1
586	Beautiful Now (Lophiile Remix)	single	1
588	Descendants (Original TV Movie Soundtrack)	album	2
589	Burn Slow (feat. Rae Sremmurd)	single	1
590	Do It Again	single	1
593	Omen (Radio Edit)	single	1
595	The Pinkprint (Deluxe)	album	7
596	Listen (Deluxe)	album	2
597	El PerdÃ³n (w/ Enrique Iglesias)	single	1
598	Roots	single	1
600	Sunshine & Whiskey	album	3
602	Bitch Better Have My Money	single	1
604	Nasty Freestyle	single	1
605	Straight Outta Compton	album	1
606	N.W.A. And Their Family Reunion	album	1
607	Be Real	single	1
609	Kiss You In The Morning	single	1
610	Just As I Am (Platinum Edition)	album	4
611	Honeymoon	album	1
612	Wild Ones (Deluxe)	album	1
613	Queen Of The Clouds (Blueprint Edition)	album	2
614	The Outsiders	album	5
617	Globalization	album	3
618	How Many Times	single	1
620	You Know You Like It	single	1
623	GO:OD AM	album	1
626	Charged Up	single	1
627	Bronco	album	1
628	This Summer's Gonna Hurt Like a Motherfr**	single	1
630	The Album About Nothing	album	1
631	Good Thing	single	1
632	Pain Killer	album	2
633	1000 Forms Of Fear	album	2
634	Shake It Off (Orig. by Taylor Swift)	single	1
635	No Sleeep (feat. J. Cole)	single	1
636	Not An Apology	album	1
638	Talking Dreams (Deluxe Version)	album	2
639	Southpaw (Music From And Inspired By The Motion Picture)	album	2
640	Yoga	single	1
641	Back It Up (Spanish Version)	single	1
642	In The Lonely Hour	album	4
643	About To Get Real	album	1
647	Jackie (Deluxe)	album	1
648	Somebody	single	1
649	Style	single	1
651	Greatest Hits: Decade #1	album	3
652	Emotion	album	1
655	Special Effects	album	1
657	We're All Somebody From Somewhere	album	1
659	Sundown Heaven Town (Deluxe Edition)	album	1
660	Southernality	album	1
661	Brother	single	1
662	Wanted On Voyage	album	1
663	Lullaby Renditions of Taylor Swift	album	6
664	Coffee	single	1
665	If You're Reading This It's Too Late	album	10
666	"Flashlight (From ""Pitch Perfect 2"" Soundtrack)"	single	1
668	My Everything (Deluxe)	album	5
669	No Sleeep	single	NULL
672	I Need Your Love	single	1
673	Bitch I'm Madonna	single	1
674	Pretty Girls	single	1
675	Barter 6	album	1
677	In The Lonely Hour (Drowning Shadows Edition)	album	1
678	Breathe In. Breathe Out.	album	1
679	Wilder Mind	album	1
680	Luca Brasi 2: Gangsta Grillz	album	1
681	Flicka Da Wrist	single	1
682	Nasty The Album	album	1
686	All Day	single	1
687	I Want You To Know (Lophiile Remix)	single	1
688	AT.LONG.LAST.A$AP	album	3
691	Adonis	single	1
692	Truffle Butter	single	1
693	FourFiveSeconds	single	1
695	You Changed Me	single	1
696	Money Sucks, Friends Rule	album	1
697	All About That Bass	single	1
700	I Bet	single	1
702	Fuse (Deluxe Edition)	album	2
703	The Complete Season 8 Collection (The Voice Performance)	album	9
705	Hozier	album	1
706	Fan of A Fan The Album (Deluxe Version)	album	1
709	Eric Paslay	album	2
710	Spring Break...Checkin' Out	album	1
713	Suffer in Peace	album	1
714	Geronimo	single	1
715	RISER	album	2
716	Grand Romantic	album	1
717	American Idol Season 14: Best Of Nick Fradiani	album	1
722	American Oxygen	single	1
727	#1 to Infinity	album	1
730	I Don't Mind	single	1
731	Dream Your Life Away (Special Editon)	album	1
733	Motion	album	3
734	Platinum	album	3
737	Reclassified	album	1
742	A.M.	album	3
743	Bills	single	1
744	It's The Hits! 2014 Vol.19	album	1
746	House Of The Rising Sun (The Voice Performance)	single	1
748	BEYONCÃ‰ [Platinum Edition]	album	5
749	Southern Style (Deluxe)	album	1
752	Ludaversal	album	1
753	Goodbye	single	1
755	FOUR (Deluxe)	album	6
756	Non-Fiction (Deluxe)	album	1
757	Smoke + Mirrors	album	1
758	CoCo	single	1
760	Crash My Party	album	6
761	Dark Before Dawn	album	1
763	Mr. Wonderful	album	1
765	It Goes Like This	album	4
769	Bring You Back	album	3
771	For You	album	2
772	Original Soundtrack from Season 1 of Empire (Deluxe)	album	3
774	Native	album	5
777	The Hunger Games: Mockingjay Pt. 1 (Original Motion Picture Score)	album	1
778	Ghost	single	1
779	Sweet Talker (Deluxe Version)	album	3
781	Days of Gold	album	3
784	How Country Feels	album	4
786	Adore	single	1
787	Monster	single	2
789	Try Me	single	1
790	Not For Long (feat. Trey Songz)	single	1
791	Glory (From the Motion Picture Selma)	single	1
793	First Kiss	album	1
796	You Are In Love (A Tribute to Taylor Swift)	single	1
797	Stuck On a Feeling	single	1
798	Only One	single	1
801	Tuesday (feat. Drake)	single	1
803	Lullaby Renditions of Taylor Swift's Blank Space and Wonderland	single	1
808	How Big, How Blue, How Beautiful (Deluxe)	album	1
809	Shots EP	single	1
810	The Body (feat. Jeremih)	single	1
814	Forever	album	1
816	Sundown Heaven Town	album	1
817	Fifty Shades Of Grey (Original Motion Picture Soundtrack)	album	1
818	Nostalgia	album	1
820	Karaoke - R&B/Hip-Hop March 2003	album	1
821	"Karaoke, In The Style Of Missy ""Misdemeanor"" Elliott, Vol. 1"	album	1
822	Waves (Robin Schulz Radio Edit)	single	1
823	Body Language	single	1
825	L.A.LOVE (la la)	single	1
826	Handwritten	album	1
827	God Made Girls	single	1
828	Hotel	single	1
830	Out The Speakers	single	1
831	These Things Happen	album	1
832	Rude	single	1
833	People Keep Talking	album	1
836	Can't Stop Dancin'	single	1
840	The New Classic	album	2
842	Hot Boy	single	1
844	I Changed A Lot (Deluxe)	album	1
845	No Love (Remix)	single	1
846	Stolen Dance	album	1
847	Rather Be (feat. Jess Glynne)	single	1
848	Somewhere In My Car	single	1
850	Best Friends (A Tribute to Sophia Grace)	single	1
851	Blank Space	single	1
853	Talk Dirty	album	5
855	Lifestyle	single	1
856	Gypsy Heart	album	1
858	Black Star Elephant	album	1
860	Yellow Flicker Beat (From The Hunger Games: Mockingjay Part 1)	single	1
861	Santa Tell Me	single	1
862	That's Christmas To Me (Deluxe Edition)	album	1
865	Break The Rules	single	1
867	"Shell Shocked (feat. Kill The Noise & Madsonik) [From ""Teenage Mutant Ninja Turtles""]"	single	1
869	The Complete Season 7 Collection (The Voice Performance)	album	9
870	My Babyâ€™s Got A Smile On Her Face	single	1
872	About the Money	single	1
874	Lost Without U (The Voice Performance)	single	1
876	Lost Stars (The Voice Performance)	single	1
879	Fireball	single	1
881	X (Deluxe Version)	album	4
886	Have Yourself A Merry Little Christmas	single	1
887	Come Join the Murder (From Sons of Anarchy)	single	1
890	0 To 100 / The Catch Up	single	1
892	Gravity	album	1
894	See You Tonight	album	2
895	i	single	1
896	Royals (The Voice Performance)	single	1
898	Fancy	single	1
899	Guts Over Fear	single	1
902	PRISM (Deluxe)	album	6
903	Baby Don't Lie	single	1
905	Love In The Future	album	2
906	SEX AND LOVE (Deluxe)	album	4
907	Boom Clap	single	1
908	Despicable Me 2 (Original Motion Picture Soundtrack)	compilatio	1
909	Do They Know Its Christmas 2014 (Remixes)	single	1
911	Holiday Wishes	album	1
913	5 Seconds Of Summer	album	6
916	Blacc Hollywood (Deluxe)	album	2
917	Am I Wrong	single	1
923	No Label II	album	2
924	Bobby Bitch	single	1
925	No Sound Without Silence	album	1
926	Go Mode	album	1
928	Secrets	single	1
930	Settle	album	1
931	No Mediocre	single	1
933	Hungry Ghosts	album	1
936	Ghost Stories	album	3
938	Sound Of A Woman	album	1
939	Hookah	single	1
941	U Guessed It (feat. 2 Chainz) - Single	single	1
942	Aquarius	album	1
946	Shower	single	1
947	Kauai	album	1
948	Oxymoron (Deluxe)	album	3
949	EW!	single	1
950	Glen Campbell I'll Be Me Soundtrack	album	1
952	The Days / Nights	album	1
953	Believe Me	single	1
955	Errrbody	single	1
956	The Swon Brothers	album	1
959	747	album	1
961	Demi	album	4
962	U Guessed It - Single	single	NULL
963	I Promise I Will Never Stop Going In (Deluxe Edition)	album	1
964	Meanwhile Back At Mama's	single	1
966	Angel in Blue Jeans	single	1
967	Bend Ova	single	1
968	This Is All Yours	album	1
969	My Own Lane	album	1
971	Where It's At (Yep, Yep) [Originally Performed by Dustin Lynch] [Karaoke Version]	single	1
975	10,000 Towns	album	1
976	Five More Hours (Deorro x Chris Brown)	single	1
981	XSCAPE	album	2
982	Seen It All: The Autobiography	album	1
985	Good Kisser	single	1
986	Turn Down for What	single	1
987	Crickets	album	2
989	Delirious (Boneless)	single	1
990	I Will Never Let You Down	single	1
992	She Came to Give It to You - Tribute to Usher and Nicki Minaj	single	1
995	We Are Tonight	album	2
998	G I R L	album	1
999	Lunatic	album	1
1000	Lights Out	album	1
1003	A Town Called Paradise (Deluxe)	album	1
1004	Shakira.	album	1
1005	MKTO	album	1
1006	Bad Blood	album	2
1009	I'm Ready - EP	album	1
1010	Based on a True Story... (Deluxe Version)	album	4
1011	Paramore	album	2
1012	Let The Road	album	1
1014	Wild Life	single	1
1018	Trigga	album	1
1019	Or Nah (feat. The Weeknd, Wiz Khalifa and DJ Mustard) [Remix Version]	single	1
1020	Chasing the Sun	single	1
1022	Not a Bad Thing	single	1
1024	My Krazy Life (Deluxe)	album	1
1025	Pure Heroine	album	4
1026	Mandatory Fun	album	1
1027	Happy Little Pill	single	1
1028	Redneck Crazy	album	2
1030	Oh, What A Life	album	1
1031	Rise Of An Empire (Deluxe Edition)	album	1
1033	She Twerkin	single	1
1034	Frozen (Original Motion Picture Soundtrack / Deluxe Edition)	album	5
1035	Honest	album	4
1036	Love Is Everything	album	1
1037	Pioneer	album	3
1038	Global Warming: Meltdown (Deluxe Version)	album	2
1039	Hotel Cabana (Deluxe Version)	album	1
1040	Off The Beaten Path (Deluxe Edition)	album	1
1042	Calm Down (feat. Eminem) - Single	single	1
1043	Never Regret	album	2
1045	A.K.A. (Deluxe)	album	3
1046	Forget The World (Deluxe)	album	1
1047	True	album	3
1048	Paula	album	1
1050	Midnight Memories (Deluxe)	album	6
1052	Wild Wild Love	single	1
1055	Night Visions	album	3
1057	Sail Out	album	1
1058	human	single	1
1059	Night Visions (Deluxe)	album	1
1060	Ultraviolence (Deluxe)	album	3
1061	Hangover	single	1
1063	Empire	single	1
1064	Pop Psychology	album	1
1065	The Blessed Unrest	album	2
1066	Bottoms Up	single	1
1067	Show Me	single	1
1070	A Town Called Paradise	album	1
1072	Raging Fire	single	1
1073	Here's To The Good Times...This Is How We Roll	album	1
1076	The Secret	album	2
1079	XO	single	1
1081	Magna Carta... Holy Grail (Explicit Version)	album	6
1085	All the Little Lights	album	1
1087	Somebody That I Used To Know (The Voice Performance)	single	1
1088	The Complete Season 6 Collection	album	3
1089	Give Me Back My Hometown	single	1
1091	Stoner	single	1
1092	Can't Remember to Forget You	single	1
1094	The Marshall Mathers LP2 (Deluxe)	album	5
1095	The Marshall Mathers LP2	album	1
1096	High Noon	album	1
1097	More Than Just A Dream (Deluxe)	album	1
1098	Fever	single	1
1100	The Complete Season 6 Collection (The Voice Performance)	album	3
1101	The Journey (Livin' Hits)	album	1
1102	Lift Your Spirit	album	1
1103	Halcyon Days	album	2
1105	Animals	single	1
1108	Storyline	album	1
1111	#SELFIE	single	1
1114	Is There Anybody Out There?	album	1
1117	Paranoid (feat. B.o.B)	single	1
1120	19 You + Me	single	1
1122	The Big Bang	single	1
1124	Avril Lavigne	album	4
1125	Underground Luxury	album	1
1128	I Hold On	single	1
1130	AM	album	1
1133	Zion (Deluxe Edition)	album	1
1134	SoMo	album	1
1135	#willpower	album	2
1136	Slow Me Down	album	1
1137	My Krazy Life	album	1
1138	Night Train	album	5
1139	Lookin' For That Girl	single	1
1140	Bangerz (Deluxe Version)	album	4
1142	Blood, Sweat & 3 Years	album	1
1143	FÃ³rmula, Vol. 2 (Deluxe Edition)	album	2
1145	Up Down (Do This All Day)	single	1
1147	Beating Heart	single	1
1148	Unorthodox Jukebox	album	5
1149	Just Feels Good	album	2
1151	Wrecking Ball	single	1
1152	ARTPOP	album	5
1154	Nothing Was The Same (Deluxe)	album	13
1157	Compass	single	1
1158	Tribute	album	1
1159	Rebellious Soul	album	2
1160	I Thought I Was An Alien	album	1
1161	Blurred Lines (Deluxe)	album	2
1162	Megalithic Symphony Deluxe	album	1
1163	Mastermind (Deluxe)	album	2
1165	Mandela â€“ Long Walk To Freedom (Original Motion Picture Soundtrack)	album	1
1168	El Regreso del Sobreviviente (Deluxe Edition)	album	1
1169	Discrete Luxury	single	1
1171	Baptized (Deluxe Version)	album	1
1172	The 1975	album	1
1175	Through the Years: The Best of The Fray	album	2
1176	Here's To The Good Times	album	3
1177	The LegoÂ® Movie (Original Motion Picture Soundtrack)	album	1
1178	Danielle Bradbery	album	1
1179	Friday Night	single	1
1182	In A Tidal Wave Of Mystery (Deluxe Edition)	album	1
1183	I Love You.	album	1
1184	Whatever She's Got	single	1
1185	23	single	1
1188	18 Months	album	5
1189	Clarity (Deluxe)	album	1
1190	The Heist	album	3
1191	It Won't Stop (feat. Chris Brown)	single	1
