track|feat_artist
Black Beatles|Gucci Mane
Starboy|Daft Punk
Closer|Halsey
Side To Side|Nicki Minaj
Juju On That Beat (TZ Anthem)|Zayion McCall
Don't Wanna Know|Kendrick Lamar
Let Me Love You|Justin Bieber
Bad Things|Camila Cabello
Broccoli|Lil Yachty
Starving|Grey
Starving|Zedd
I Hate U I Love U|Olivia O'Brien
The Greatest|Kendrick Lamar
Cold Water|MÃ˜
Cold Water|Justin Bieber
In The Name Of Love|Bebe Rexha
Cheap Thrills|Sean Paul
I Feel It Coming|Daft Punk
Don't Let Me Down|Daya
Chill Bill|J. Davi$
Chill Bill|Spooks
This Is What You Came For|Rihanna
May We All|Tim McGraw
X|Metro Boomin
X|Future
Do You Mind|Nicki Minaj
Do You Mind|Chris Brown
Do You Mind|August Alsina
Do You Mind|Jeremih
Do You Mind|Future
Do You Mind|Rick Ross
One Dance|WizKid
One Dance|Kyla
Used To This|Drake
Sidewalks|Kendrick Lamar
Come And See Me|Drake
No Heart|Metro Boomin
Sneakin'|21 Savage
Too Much Sauce|Future
Too Much Sauce|Lil Uzi Vert
Home|Johnny Yukon
Chantaje|Maluma
All I Know|Future
Setting The World On Fire|P!nk
All We Know|Phoebe Ryan
Rockabye|Sean Paul
Rockabye|Anne-Marie
